id,lng,lat,n_trials,n_positive
507031,30.525091,3.131157,25,22
507119,23.393298,-6.211002,31,31
507335,20.395902,1.759391,42,14
507852,28.786161,-2.331244,21,17
511580,24.947432,-4.276061,37,19
513333,22.334295,-5.710534,29,26
513379,22.176322,1.984013,44,14
514794,20.838732,2.804755,38,22
517896,29.168203,-0.702201,4,2
519382,16.988903,-4.583721,37,32
525008,26.726213,-10.96199,41,35
527492,29.209684,0.410083,9,8
528940,15.300681,-4.3315,9,8
537688,20.800999,-6.402605,29,27
538155,22.592063,-4.765194,37,37
553976,27.258285,-2.898634,13,12
555335,29.295426,0.106999,11,11
557735,30.602269,2.98888,26,26
560429,29.037362,-3.0478,32,28
560447,22.41119,-5.925454,20,16
561127,19.886586,0.169074,25,15
562946,15.265253,-4.347005,8,8
563872,24.48694,-6.142448,32,32
563885,15.527308,-4.087511,16,14
570181,19.696474,1.140021,24,3
570574,18.330347,-2.820606,19,16
572934,24.466548,0.980542,28,12
574147,27.624264,2.767994,24,15
581490,20.329987,3.319467,32,26
581924,23.733355,-6.493681,21,5
585877,20.758848,-6.412644,28,23
586651,22.835696,-9.444266,26,21
588630,30.338905,3.665857,26,20
589688,17.313998,-4.83614,29,20
597244,27.55686,-12.174502,18,13
597580,22.799166,0.960676,27,14
600352,22.165826,-5.135912,39,31
600610,26.587506,-0.745404,25,25
600860,18.894944,-7.280007,19,7
604709,27.639081,-12.254793,25,19
607780,28.88874,-1.24187,23,12
608434,28.027841,-5.946134,45,11
614633,28.107303,-1.479445,22,22
615267,27.01216,-5.02206,38,18
617220,22.509265,4.092481,27,23
619713,22.221747,0.612678,26,18
619916,28.853409,-2.507845,15,15
622938,26.673789,-4.426708,19,17
625356,22.849344,-6.468398,11,8
625834,16.528298,-1.925145,43,41
632038,23.624374,1.254665,23,14
633126,20.590944,-6.142809,9,7
641196,25.712294,-8.852534,23,20
643347,19.375537,-4.466075,23,14
646959,21.45177,1.755036,42,20
649985,15.328969,-4.355511,12,12
651601,23.705778,-7.183306,29,24
657275,13.473603,-5.837224,20,20
663735,19.3659,-1.40087,27,22
665401,22.417335,2.815366,45,17
668510,23.437199,-6.999193,30,30
670620,15.318846,-4.357829,4,3
671601,22.336926,-5.940808,30,28
673190,26.823649,-3.870098,18,11
674171,23.962277,-7.06589,39,15
675566,29.158049,-0.203947,27,27
676371,19.203205,0.529766,30,20
680721,26.445709,-1.470583,31,30
684736,17.038616,-4.803524,20,19
686541,30.157077,1.486071,27,20
687642,25.911308,-2.938028,26,22
688257,23.168274,-6.404643,22,18
688358,22.241772,-6.817362,24,21
708391,29.556597,-1.21853,25,20
718828,15.314786,-4.377253,16,16
719929,15.401195,-4.646289,19,15
722323,23.550671,-6.105121,15,13
722531,22.947632,-5.818753,25,15
722906,30.717755,1.845528,19,17
725251,23.785833,2.745975,27,19
726448,29.036395,-0.094932,31,30
728346,13.719451,-5.458829,16,14
729696,22.425491,-6.60255,28,18
734744,30.250097,1.581031,26,21
737559,29.365607,-1.435962,22,20
738399,28.285766,-3.149225,29,26
741053,16.056765,-5.732226,34,33
757968,18.496448,-6.230787,4,3
765665,25.856459,-9.210254,33,25
766835,20.606735,-4.348708,36,31
772154,24.536887,-6.117369,28,28
775925,15.330548,-4.390432,18,17
778950,18.812982,-5.062523,24,23
781077,22.37239,-5.889153,22,22
781141,27.468213,-11.650925,21,21
782216,18.942552,-5.570384,23,22
784571,15.394874,-4.392906,16,16
784687,22.37111,2.512463,52,23
800002,25.74694,-6.577556,41,17
802348,26.135818,-6.40574,53,25
809981,17.295222,-3.530395,39,10
814044,28.80438,-2.838276,30,27
818234,22.405265,-10.460888,21,7
819843,23.234779,-1.18653,32,15
830382,23.497126,-7.153999,27,27
831466,28.767592,-1.288684,33,33
831591,21.496846,2.14582,35,23
838693,25.571509,-7.331683,35,30
840073,14.135209,-4.934852,8,8
840349,13.462872,-5.150555,36,28
840913,21.080837,-0.597987,37,27
844612,16.564669,-1.909008,28,24
854631,24.573838,-5.324901,35,30
862716,16.64473,-5.34928,34,14
864827,16.232211,-2.165293,37,31
869604,25.636373,-0.142111,23,12
872915,15.282931,-4.419013,17,15
876451,21.981951,-0.57472,30,16
879858,12.952315,-4.998205,17,17
886556,31.189712,2.208951,15,13
888277,12.980035,-5.172551,28,24
889686,18.807029,-5.039808,21,19
896120,23.951311,-0.381477,30,19
903002,17.008673,-6.418674,29,9
903948,18.70087,3.251335,20,10
906873,25.530755,0.467484,33,32
907365,28.215131,-9.388064,34,23
916042,22.221372,-3.869741,42,18
917891,25.901652,-2.947,29,19
918229,16.804318,-6.471084,27,25
927954,28.553165,-8.700108,22,19
928751,22.241999,-6.543322,24,11
929573,15.381296,-4.418857,15,15
930210,23.608237,-6.112508,16,13
932039,23.923297,-2.953118,37,3
933695,21.795078,0.220128,25,18
934527,27.232533,-11.764497,20,19
938262,25.224014,0.51436,28,22
939369,23.651313,-6.493507,31,7
941867,20.888191,-0.27912,29,17
943002,13.058311,-5.807474,19,16
958605,23.966848,-6.739027,23,17
959977,24.921562,-4.154182,35,18
976845,29.815013,-7.367618,37,7
978151,24.130655,-6.515007,31,11
978967,27.10225,-4.296087,57,31
983365,23.957207,-6.723435,32,28
992345,15.292475,-4.367844,13,13
996006,24.482375,-6.144343,29,29
1011877,29.475102,0.475196,20,16
1013356,22.381992,-5.858522,26,16
1014505,16.182401,-5.853857,27,10
1020655,21.579257,-4.8393,26,20
1026888,12.899976,-5.825556,19,19
1026924,23.863452,-6.67985,30,18
1030572,28.062627,-6.19006,46,7
1031354,17.725535,-5.579413,36,32
1033584,28.119689,-3.334811,21,21
1036253,22.750732,2.219373,28,22
1046176,23.599592,-6.141427,21,18
1048725,18.098466,-7.09021,14,12
1052782,22.634969,-6.559013,7,3
1053431,20.993712,4.294957,39,28
1059325,16.938626,-3.015876,30,26
1061270,27.455826,-11.706288,34,30
1072060,25.393793,3.717774,27,19
1074618,28.750498,-2.539011,9,9
1075379,26.940184,-6.718536,34,21
1075982,22.718182,-9.807118,28,19
1077783,15.451764,-4.445218,26,25
1078191,27.112679,2.636267,14,2
1082577,17.758479,-4.522512,36,36
1093827,15.312596,-4.383546,14,14
1100477,22.222611,-0.370282,40,24
1117633,29.474879,0.49502,10,10
1120796,19.048109,-6.055202,34,31
1121022,30.920825,2.164259,22,19
1123382,18.881305,-3.965333,11,9
1128332,25.029155,-6.455369,46,34
1131310,29.197709,-3.264049,31,31
1141096,15.318822,-4.377234,16,15
1148076,24.737903,2.793481,44,29
1149493,28.631079,-2.643248,29,28
1152143,20.6052,0.786509,36,32
1156520,15.126617,-5.059481,25,24
1158582,27.616859,2.791433,17,10
1160475,18.092393,-3.238045,28,28
1165492,15.316635,-4.334399,14,14
1171403,22.388854,-5.917018,26,21
1174572,19.597925,-6.756334,23,3
1176791,16.957174,-4.059344,34,29
1177461,29.513774,0.693343,12,10
1187607,15.309661,-4.379511,20,20
1229265,29.147468,0.007725,7,7
1235582,28.745179,-2.616576,31,28
1240486,23.617341,-6.110498,14,14
1244387,23.952161,-8.024947,37,17
1245907,22.395529,-7.474855,31,27
1247580,26.263119,-2.256134,34,14
1261450,25.185831,0.536724,19,14
1261815,23.225144,-5.260416,28,25
1293010,15.352401,-4.396131,17,16
1303958,21.803833,2.435441,41,21
1307242,25.185529,0.518692,18,18
1307341,26.650369,-2.580978,23,18
1316051,18.39174,-2.83011,25,22
1323810,21.430416,-5.206358,43,32
1327544,15.334627,-4.41471,24,24
1327548,30.174864,1.839969,15,12
1345557,20.865452,2.654703,41,23
1354301,12.542507,-5.302383,36,35
1355516,29.178654,1.071529,25,25
1357142,19.437368,4.180821,24,4
1371723,15.420102,-4.417999,21,21
1374337,23.455393,-6.993767,33,29
1382950,15.338158,-4.401587,29,29
1386939,28.935487,-1.95175,25,24
1415380,15.490643,-4.37151,22,20
1428542,15.32601,-4.326207,11,11
1439022,18.55961,-2.888884,31,29
1439565,22.553592,-7.558661,36,29
1449121,24.62121,-9.929277,25,15
1457508,29.69079,1.240055,33,32
1466983,15.283002,-4.362193,13,13
1484314,22.856782,-0.942772,29,11
1495929,28.860844,-2.642294,31,31
1496869,15.382643,-4.405809,15,15
1498195,15.398085,-4.387896,23,22
1506207,15.303574,-4.434677,6,5
1510245,15.412567,-4.398045,28,27
1522183,23.560073,-6.113958,28,25
1524097,30.728031,2.274913,24,14
1527585,25.259371,-8.281321,17,15
1529177,23.137961,-10.468598,28,17
1532736,16.839366,-1.496613,10,9
1569274,29.065271,0.212387,12,12
1579574,23.613792,-6.10828,24,23
1585370,27.457027,-11.692722,21,20
1586798,23.577137,-6.206739,35,33
1592223,18.13553,-0.728697,40,29
1597401,18.985598,2.805502,25,15
1605599,29.513334,1.369532,22,21
1623405,15.266999,-4.385414,18,18
1633168,27.109588,-1.629035,37,31
1637322,29.062303,-1.694769,2,1
1653586,15.219063,-4.34853,27,27
1656708,23.620752,-6.138243,20,18
1731278,28.099922,-10.152281,13,10
1747315,30.566266,1.749017,25,23
1774135,29.018924,3.484675,16,11
1774546,17.661529,-2.284236,34,17
1796305,19.02678,-4.057142,28,24
1855065,15.233769,-4.355323,7,7
1873573,15.281443,-4.381173,35,35
1879217,17.766575,-3.086772,36,32
1881920,15.365728,-4.413457,17,17
1916699,23.923821,-1.006873,26,15
1921047,26.995513,-9.863971,21,12
1923801,19.36946,2.412944,39,22
1943225,17.389399,-6.981143,30,25
1944723,15.284108,-4.338141,10,10
1945610,19.257837,-6.198032,32,30
1947900,23.564293,-6.12653,26,23
1953446,27.540366,-11.637341,24,21
1981816,18.647154,3.64095,17,14
1999761,28.905275,-0.798872,19,14
2007775,29.552394,-12.607145,33,20
2028329,18.065496,-4.386094,19,18
2049271,14.218269,-5.341996,21,21
2073576,15.376346,-4.388355,23,23
2085668,22.731727,-6.072528,8,6
2136032,29.107918,-1.123294,41,28
2312354,18.899532,2.410489,39,35
2316490,29.140571,-3.389643,21,16
2356993,15.358809,-4.326976,24,21
2374717,29.251575,0.261873,12,10
2379975,18.274458,0.042123,10,9
2388287,28.732401,-1.708246,27,22
2395969,28.993288,-2.203975,39,33
2420901,15.37009,-5.464976,33,32
2425909,17.69172,-3.968973,43,27
2457143,28.655639,-2.897977,46,42
2480386,27.509336,-11.704964,32,28
2481489,17.256071,-6.513172,35,33
2522146,17.401217,-3.312632,24,22
2553141,17.66224,-4.820424,23,18
2569372,14.856764,-5.240645,12,12
2570558,29.22092,-1.672629,37,35
2580989,22.4068,-5.898041,21,20
2648005,23.895969,3.372493,32,26
2652812,28.661735,-4.665337,30,28
2660522,17.789887,-7.415729,21,14
2736368,25.46572,-10.729997,24,16
2866349,22.833046,4.125512,29,21
3140639,18.686908,-4.578737,20,16
3262308,27.298871,-2.521637,9,6
3370566,28.212556,-1.166106,9,6
3372741,18.746432,-4.8362,18,12
3422577,17.903061,-4.771755,26,26
3662060,17.247259,-5.005031,46,44
3702743,29.194223,-1.662749,21,18
3714396,30.217535,1.75202,12,9
3783270,14.659962,-5.544237,21,15
3848503,21.565503,-4.676866,42,27
4010599,29.242112,-0.171779,7,6
4049099,26.682257,-3.588684,23,16
4089542,23.140568,2.225635,43,31
4214742,23.714294,-6.024498,27,21
4913437,27.534543,-11.649969,29,28
4942924,25.725235,-5.240589,40,39
5250699,18.088536,1.461226,17,12
6061723,17.575339,-1.741311,20,15
8209883,28.993137,-2.863249,30,29
