country_school,id,country,lat,lng,n_trials,n_positive
cotedivoire-200,200,cotedivoire,5.32737,-4.0471,30,6
cotedivoire-201,201,cotedivoire,5.34947,-4.05727,30,0
cotedivoire-203,203,cotedivoire,5.33625,-4.05864,30,0
cotedivoire-204,204,cotedivoire,5.3263,-4.05419,30,0
cotedivoire-205,205,cotedivoire,9.30031,-5.16405,30,0
cotedivoire-206,206,cotedivoire,9.30158,-5.16305,32,1
cotedivoire-207,207,cotedivoire,9.31508,-5.13258,32,0
cotedivoire-208,208,cotedivoire,9.39557,-5.18252,32,0
cotedivoire-209,209,cotedivoire,9.37458,-5.02862,30,1
cotedivoire-210,210,cotedivoire,5.41094,-3.99887,30,0
cotedivoire-211,211,cotedivoire,5.40267,-4.00611,30,0
cotedivoire-213,213,cotedivoire,7.26826,-4.7805,30,0
cotedivoire-214,214,cotedivoire,7.19777,-4.92718,30,0
cotedivoire-215,215,cotedivoire,6.41193,-8.02128,30,1
cotedivoire-216,216,cotedivoire,6.4831,-8.02242,30,29
cotedivoire-217,217,cotedivoire,6.54053,-7.87296,32,2
cotedivoire-218,218,cotedivoire,6.56431,-8.00146,31,7
cotedivoire-22,22,cotedivoire,8.21562,-2.63513,30,0
cotedivoire-220,220,cotedivoire,7.22901,-4.80717,30,0
cotedivoire-221,221,cotedivoire,7.22921,-4.80734,30,0
cotedivoire-222,222,cotedivoire,7.21591,-4.81044,30,0
cotedivoire-224,224,cotedivoire,7.12654,-4.89671,30,0
cotedivoire-226,226,cotedivoire,6.50716,-8.1078,32,8
cotedivoire-227,227,cotedivoire,7.10038,-4.87074,32,0
cotedivoire-228,228,cotedivoire,6.46447,-8.02142,30,6
cotedivoire-229,229,cotedivoire,6.5592,-7.88088,30,3
cotedivoire-23,23,cotedivoire,5.3559,-4.04665,30,8
cotedivoire-230,230,cotedivoire,6.55205,-7.966824,31,1
cotedivoire-232,232,cotedivoire,7.11957,-4.86433,30,0
cotedivoire-233,233,cotedivoire,7.44585,-4.98316,32,0
cotedivoire-234,234,cotedivoire,7.40256,-4.98615,30,0
cotedivoire-235,235,cotedivoire,7.04025,-4.84393,30,0
cotedivoire-236,236,cotedivoire,7.44813,-5.03396,30,0
cotedivoire-237,237,cotedivoire,7.42884,-4.76376,30,1
cotedivoire-238,238,cotedivoire,7.44826,-4.72816,30,0
cotedivoire-239,239,cotedivoire,7.45906,-4.78219,30,0
cotedivoire-24,24,cotedivoire,5.31532,-4.04307,30,0
cotedivoire-240,240,cotedivoire,6.57021,-8.08926,30,7
cotedivoire-243,243,cotedivoire,5.40215,-4.0028,30,3
cotedivoire-244,244,cotedivoire,5.40216,-4.00284,30,0
cotedivoire-245,245,cotedivoire,5.45182,-4.00992,33,1
cotedivoire-246,246,cotedivoire,5.40669,-4.00208,30,0
cotedivoire-247,247,cotedivoire,5.43879,-4.01208,31,1
cotedivoire-248,248,cotedivoire,5.42931,-4.00855,30,0
cotedivoire-249,249,cotedivoire,5.41351,-4.01256,31,2
cotedivoire-25,25,cotedivoire,8.03432,-2.78704,30,0
cotedivoire-250,250,cotedivoire,5.32341,-4.09307,30,0
cotedivoire-251,251,cotedivoire,5.41092,-3.99888,30,1
cotedivoire-252,252,cotedivoire,5.43916,-4.02409,30,0
cotedivoire-253,253,cotedivoire,7.11241,-4.26204,34,3
cotedivoire-258,258,cotedivoire,7.03907,-3.57772,30,0
cotedivoire-26,26,cotedivoire,9.34393,-5.39556,32,1
cotedivoire-261,261,cotedivoire,7.04439,-4.21171,33,0
cotedivoire-263,263,cotedivoire,6.84726,-4.58901,32,0
cotedivoire-264,264,cotedivoire,7.03935,-3.57719,31,1
cotedivoire-265,265,cotedivoire,7.91915,-3.99706,30,1
cotedivoire-266,266,cotedivoire,7.91913,-3.99715,33,0
cotedivoire-267,267,cotedivoire,6.56158,-4.19069,31,1
cotedivoire-268,268,cotedivoire,6.56568,-4.18157,30,4
cotedivoire-27,27,cotedivoire,7.9507,-3.01032,30,0
cotedivoire-275,275,cotedivoire,7.35414,-3.97107,32,0
cotedivoire-277,277,cotedivoire,7.06655,-4.04089,30,0
cotedivoire-278,278,cotedivoire,7.52202,-3.80441,30,2
cotedivoire-280,280,cotedivoire,6.72501,-4.85418,32,0
cotedivoire-281,281,cotedivoire,6.49092,-4.22442,32,0
cotedivoire-282,282,cotedivoire,7.58323,-3.7877,31,0
cotedivoire-283,283,cotedivoire,7.79202,-4.32539,35,0
cotedivoire-284,284,cotedivoire,6.47398,-4.29087,36,0
cotedivoire-285,285,cotedivoire,6.49377,-4.31445,33,0
cotedivoire-287,287,cotedivoire,7.68142,-4.34641,35,1
cotedivoire-289,289,cotedivoire,7.54044,-4.29195,35,0
cotedivoire-29,29,cotedivoire,8.04278,-3.09723,30,0
cotedivoire-290,290,cotedivoire,6.47514,-4.28395,32,0
cotedivoire-291,291,cotedivoire,7.0129,-4.36401,34,0
cotedivoire-292,292,cotedivoire,7.45406,-4.33842,35,0
cotedivoire-293,293,cotedivoire,7.49078,-3.70655,31,0
cotedivoire-294,294,cotedivoire,7.09825,-4.06442,30,1
cotedivoire-295,295,cotedivoire,7.10137,-4.08348,30,0
cotedivoire-296,296,cotedivoire,7.6919,-4.22271,35,0
cotedivoire-297,297,cotedivoire,7.60431,-3.72879,30,0
cotedivoire-298,298,cotedivoire,6.50035,-4.29042,32,0
cotedivoire-299,299,cotedivoire,7.17419,-4.24938,30,3
