id,lat,lng,n_trials,n_positive
malawi-4008,-15.71292,35.2486485,30,2
malawi-4009,-15.84265,35.26199,30,0
malawi-4010,-15.783675,35.280645,30,0
malawi-4011,-15.8003,35.169115,30,0
malawi-4012,-15.80009,35.16827,30,2
malawi-4013,-15.74703,35.144125,30,0
malawi-4014,-15.70157,35.184215,30,0
malawi-4015,-15.72386,35.20875,30,2
malawi-4016,-15.75419,35.19269,30,0
malawi-4018,-15.603605,35.232335,30,26
malawi-4019,-15.571645,35.14776,30,2
malawi-4020,-15.591455,35.114575,30,0
malawi-5003,-13.98891,33.800245,30,5
malawi-5004,-14.018825,33.79346,26,0
malawi-5005,-14.009885,33.818835,30,0
malawi-5006,-14.023365,33.80223,30,4
malawi-5008,-13.99559,33.786435,30,3
malawi-5009,-13.98681,33.78918,30,5
malawi-5010,-13.99736,33.75523,30,0
malawi-5011,-13.904685,33.772475,30,0
malawi-5012,-13.92437,33.74387,30,0
malawi-5013,-14.00524,33.707235,30,0
malawi-5014,-14.017765,33.715755,30,10
malawi-5015,-14.01278,33.731255,30,3
malawi-5016,-14.0031,33.787235,30,3
malawi-5017,-14.01436,33.77811,30,4
malawi-5018,-13.952125,33.737075,30,7
malawi-5019,-13.941835,33.73538,30,7
malawi-5020,-13.93882,33.75659,30,6
malawi-6001,-14.079365,33.91158,30,11
malawi-6002,-14.05692,33.92537,30,18
malawi-6003,-14.11557,34.070705,30,12
malawi-6004,-14.06694,34.05754,30,0
malawi-6005,-14.0421,34.106245,30,0
malawi-6006,-14.19226,33.729685,30,0
malawi-6007,-14.26648,33.6582,30,3
malawi-6008,-14.08027,33.8081,30,0
malawi-6009,-14.09272,33.80751,30,0
malawi-6011,-14.00951,33.9719,30,9
malawi-6012,-14.12576,33.79213,30,0
malawi-6013,-14.08963,33.786615,30,0
malawi-6014,-14.01674,33.8209,30,5
malawi-6015,-13.973365,34.031245,30,25
malawi-6016,-14.245625,33.778495,30,0
malawi-6017,-14.20325,33.806175,30,0
malawi-6018,-14.05539,33.968645,30,3
malawi-6019,-14.227135,33.64611,30,0
malawi-6020,-14.30847,33.657695,30,0
malawi-7001,-13.87827,33.74628,30,6
malawi-7002,-13.871085,33.770445,30,0
malawi-7003,-13.983375,33.647105,30,0
malawi-7004,-13.938775,33.63719,30,0
malawi-7005,-13.957935,33.59167,30,0
malawi-7006,-13.74844,33.68216,30,0
malawi-7007,-13.79049,33.653415,30,0
malawi-7008,-13.862325,33.650555,30,4
malawi-7009,-14.018665,33.58151,30,0
malawi-7010,-14.02887,33.44804,30,0
malawi-7011,-14.00998,33.457265,30,0
malawi-7012,-13.878305,33.499945,30,2
